,titulo,num_reviews,rating
0,Python Django - The Practical Guide,154,4.805354
1,Learn Python Programming Masterclass,74836,4.5648637
2,The Python Mega Course: Build 10 Real World Applications,48482,4.6033025
3,2021 Complete Python Bootcamp From Zero to Hero in Python,363358,4.5873423
4,Complete Python Developer in 2021: Zero to Mastery,27361,4.6754265
5,Python for Beginners: Learn Python Programming (Python 3),15503,4.4786363
6,100 Days of Code - The Complete Python Pro Bootcamp for 2021,29133,4.733884
7,The Complete Python Course | Learn Python by Doing,13882,4.5704956
8,Machine Learning A-Z™: Hands-On Python & R In Data Science,145666,4.5162206
9,The Python Bible™ | Everything You Need to Program in Python,33110,4.6530166
10,The Modern Python 3 Bootcamp,22993,4.70062
11,Python for Finance: Investment Fundamentals & Data Analytics,21632,4.5333867
12,Python for beginners,17855,4.4680552
13,REST APIs with Flask and Python,13303,4.5657587
14,Python A-Z™: Python For Data Science With Real Exercises!,20414,4.5482264
15,Python for Absolute Beginners,18647,4.4087024
16,Python and Django Full Stack Web Developer Bootcamp,38605,4.5691915
17,Spark and Python for Big Data with PySpark,14716,4.4988475
18,Data Analysis with Pandas and Python,13280,4.651443
19,The Complete Python 3 Course: Beginner to Advanced!,21757,4.0601854
20,Python for Financial Analysis and Algorithmic Trading,15462,4.485846
21,Programming with Python : HandsOn Introduction for Beginners,10381,4.5080943
22,Learning Python for Data Analysis and Visualization,16225,4.403507
23,Python Bootcamp 2021 Build 15 working Applications and Games,10098,4.2236643
24,The Advanced Python Course: Build 10 Professional Programs,596,4.5977416
25,Learn to Code with Python,3288,4.7066836
26,The Complete Python Masterclass: Learn Python From Scratch,6140,4.4590936
27,Python for Beginners with Examples,8959,4.397294
28,Taming Big Data with Apache Spark and Python - Hands On!,10493,4.426621
29,Python - The Practical Guide,3917,4.6558547
30,Algorithmic Trading & Quantitative Analysis Using Python,2299,4.4114833
31,30 Days of Python | Unlock your Python Potential,7208,4.48529
32,Python OOP : Four Pillars of OOP in Python 3 for Beginners,7556,4.5676384
33,Python Complete Masterclass for Beginners,2450,4.495607
34,Data Science: Deep Learning and Neural Networks in Python,7320,4.571664
35,Python Programming Bootcamp,1409,4.6142497
36,"Algorithmic Trading: Backtest, Optimize & Automate in Python",1761,4.505545
37,Python and Flask Bootcamp: Create Websites using Flask!,5840,4.597087
38,Cryptocurrency Trading Bot with a User Interface in Python,156,4.503853
39,Python Coding MADE EASY : A Python Coding Course in Python 3,3685,4.6945586
40,Python Network Programming for Network Engineers (Python 3),6105,4.67532
41,Master Math by Coding in Python,1272,4.673019
42,Python for Computer Vision with OpenCV and Deep Learning,6201,4.5728393
43,Python for beginners - Learn all the basics of python,5547,4.2368746
44,Python in a Weekend: The Easiest Python for Beginners Course,121,4.67219
45,Python for Time Series Data Analysis,4803,4.6974998
46,The Complete Python Programmer Bootcamp 2021,3277,4.6564136
47,Practice Python by Solving 100 Python Problems,2090,4.49982
48,Python Network Programming Complete Masterclass,4454,4.7214913
49,2021 Python for Machine Learning & Data Science Masterclass,2299,4.7284036
50,Deep Learning Prerequisites: Linear Regression in Python,4796,4.6233296
51,Selenium Webdriver with PYTHON from Scratch + Frameworks,6399,4.55504
52,Complete 2-in-1 Python for Business and Finance Bootcamp,478,4.7498198
53,Deep Learning Prerequisites: Logistic Regression in Python,3257,4.6375437
54,Web Developer Bootcamp with Flask and Python,4899,4.4780746
55,Learn Complete Python In Simple Way,2962,4.710444
56,Master Python programming by solving scientific projects,312,4.7102547
57,Build a Backend REST API with Python & Django - Advanced,3947,4.568366
58,Automated Software Testing with Python,3248,4.575788
59,Master Python Programming: The Complete Python Bootcamp 2021,735,4.6250777
